2018-12-21 21:19:31.844 [main] INFO  c.l.springbootdemo.SpringBootDemoApplication - Starting SpringBootDemoApplication on LXZ with PID 6548 (C:\file\Development\GIT\MyJavaDemo2\spring-boot\spring-boot-demo\target\classes started by lxz in C:\file\Development\GIT\MyJavaDemo2\spring-boot)
2018-12-21 21:19:37.038 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 16 endpoint(s) beneath base path '/actuator'
2018-12-21 21:19:37.221 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2018-12-21 21:19:37.239 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2018-12-21 21:19:37.275 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2018-12-21 21:19:37.301 [main] INFO  c.l.springbootdemo.SpringBootDemoApplication - Started SpringBootDemoApplication in 6.635 seconds (JVM running for 12.68)
2018-12-21 21:19:37.686 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2018-12-21 21:19:37.686 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2018-12-21 21:19:37.709 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 22 ms
2018-12-21 22:10:07.914 [main] INFO  c.l.springbootdemo.SpringBootDemoApplication - Starting SpringBootDemoApplication on LXZ with PID 12100 (C:\file\Development\GIT\MyJavaDemo2\spring-boot\spring-boot-demo\target\classes started by lxz in C:\file\Development\GIT\MyJavaDemo2\spring-boot)
2018-12-21 22:10:07.986 [main] INFO  c.l.springbootdemo.SpringBootDemoApplication - No active profile set, falling back to default profiles: default
2018-12-21 22:10:10.882 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2018-12-21 22:10:10.898 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2018-12-21 22:10:10.909 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-12-21 22:10:10.909 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2018-12-21 22:10:10.917 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_171\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files (x86)\MySQL\MySQL Server 5.5\bin;C:\Program Files\MySQL\MySQL Server 5.5\bin;C:\Program Files\Git\cmd;C:\Program Files\MATLAB\R2012a\runtime\win64;C:\Program Files\MATLAB\R2012a\bin;C:\WINDOWS\system32\config\systemprofile\.dnx\bin;C:\Program Files\Microsoft DNX\Dnvm\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Users\lxz\AppData\Local\Microsoft\WindowsApps;C:\Program Files\Java\jdk1.8.0_171\bin;C:\file\software\green\apache-maven-3.5.4-bin\apache-maven-3.5.4\bin;C:\file\software\green\android-sdk-windows\platform-tools;C:\file\software\green\android-sdk-windows\tools;C:\file\software\green\node-v8.12.0-win-x64;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;;.]
2018-12-21 22:10:11.072 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-12-21 22:10:11.073 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2829 ms
2018-12-21 22:10:11.712 [main] INFO  o.s.b.a.endpoint.web.ServletEndpointRegistrar - Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2018-12-21 22:10:11.921 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2018-12-21 22:10:12.453 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService
2018-12-21 22:10:12.588 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 16 endpoint(s) beneath base path '/actuator'
2018-12-21 22:10:12.662 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2018-12-21 22:10:12.679 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2018-12-21 22:10:12.699 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2018-12-21 22:10:12.712 [main] INFO  c.l.springbootdemo.SpringBootDemoApplication - Started SpringBootDemoApplication in 5.798 seconds (JVM running for 8.757)
2018-12-21 22:10:12.988 [RMI TCP Connection(6)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2018-12-21 22:10:12.989 [RMI TCP Connection(6)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2018-12-21 22:10:13.016 [RMI TCP Connection(6)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 27 ms
2018-12-21 22:10:13.869 [registrationTask1] WARN  d.c.b.a.client.registration.ApplicationRegistrator - Failed to register application as Application(name=spring-boot-application, managementUrl=http://LXZ:8080/actuator, healthUrl=http://LXZ:8080/actuator/health, serviceUrl=http://LXZ:8080/) at spring-boot-admin ([http://localhost:9090/instances]): I/O error on POST request for "http://localhost:9090/instances": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect. Further attempts are logged on DEBUG level
2018-12-21 22:10:34.876 [registrationTask1] INFO  d.c.b.a.client.registration.ApplicationRegistrator - Application registered itself as 2a36d4cf4943
2018-12-21 22:12:07.373 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - jolokia-actuator-endpoint: No access restrictor found, access to any MBean is allowed
